item_id,benchmark,split,license,domain,problem_text_hash,recovery_origin_class
gsm8k_train_0100,GSM8K,train,MIT,mathematical_reasoning,8d09228bca31f068,naturally_occurring_verifier_identifiable
gsm8k_train_0101,GSM8K,train,MIT,mathematical_reasoning,a693bfc83dd09878,naturally_occurring_verifier_identifiable
gsm8k_train_0102,GSM8K,train,MIT,mathematical_reasoning,585b45418236592c,naturally_occurring_verifier_identifiable
gsm8k_train_0103,GSM8K,train,MIT,mathematical_reasoning,78fc065271ccfa52,naturally_occurring_verifier_identifiable
gsm8k_train_0104,GSM8K,train,MIT,mathematical_reasoning,8f96bd9874dae882,naturally_occurring_verifier_identifiable
gsm8k_train_0105,GSM8K,train,MIT,mathematical_reasoning,8d9cf5042f2a86d4,naturally_occurring_verifier_identifiable
gsm8k_train_0106,GSM8K,train,MIT,mathematical_reasoning,6f0e29f53843ab32,naturally_occurring_verifier_identifiable
gsm8k_train_0107,GSM8K,train,MIT,mathematical_reasoning,f3bddc813836bd08,naturally_occurring_verifier_identifiable
gsm8k_train_0108,GSM8K,train,MIT,mathematical_reasoning,98b145948a6ec479,naturally_occurring_verifier_identifiable
gsm8k_train_0109,GSM8K,train,MIT,mathematical_reasoning,3bef4faac3ab311a,naturally_occurring_verifier_identifiable
gsm8k_train_0110,GSM8K,train,MIT,mathematical_reasoning,ae69669c9af89be5,controlled_injected_failure
gsm8k_train_0111,GSM8K,train,MIT,mathematical_reasoning,8d9003df761dd2c8,controlled_injected_failure
gsm8k_train_0112,GSM8K,train,MIT,mathematical_reasoning,45e9cd9e3a9ee0e1,controlled_injected_failure
gsm8k_train_0113,GSM8K,train,MIT,mathematical_reasoning,be9d8814416acb00,controlled_injected_failure
gsm8k_train_0114,GSM8K,train,MIT,mathematical_reasoning,d5a004566bbd40e5,controlled_injected_failure
mbpp_sanitized_0200,MBPP,train,CC-BY-4.0,programmatic_reasoning,dbd1ba4d9e9f8484,naturally_occurring_verifier_identifiable
mbpp_sanitized_0201,MBPP,train,CC-BY-4.0,programmatic_reasoning,4d89f5d1bd4336b3,naturally_occurring_verifier_identifiable
mbpp_sanitized_0202,MBPP,train,CC-BY-4.0,programmatic_reasoning,9fe0820f99f1310e,naturally_occurring_verifier_identifiable
mbpp_sanitized_0203,MBPP,train,CC-BY-4.0,programmatic_reasoning,0785c244ee2a7d05,naturally_occurring_verifier_identifiable
mbpp_sanitized_0204,MBPP,train,CC-BY-4.0,programmatic_reasoning,5f128820855dc1e3,naturally_occurring_verifier_identifiable
mbpp_sanitized_0205,MBPP,train,CC-BY-4.0,programmatic_reasoning,e1d89162ba8f7654,naturally_occurring_verifier_identifiable
mbpp_sanitized_0206,MBPP,train,CC-BY-4.0,programmatic_reasoning,58f34012f30a9b37,naturally_occurring_verifier_identifiable
mbpp_sanitized_0207,MBPP,train,CC-BY-4.0,programmatic_reasoning,f5aa75b062bc72bb,naturally_occurring_verifier_identifiable
mbpp_sanitized_0208,MBPP,train,CC-BY-4.0,programmatic_reasoning,8064b748e3054037,naturally_occurring_verifier_identifiable
mbpp_sanitized_0209,MBPP,train,CC-BY-4.0,programmatic_reasoning,f4a74a8be2a05826,naturally_occurring_verifier_identifiable
mbpp_sanitized_0210,MBPP,train,CC-BY-4.0,programmatic_reasoning,b21fd3b571f5e6cd,controlled_injected_failure
mbpp_sanitized_0211,MBPP,train,CC-BY-4.0,programmatic_reasoning,3ef23b28ff19210a,controlled_injected_failure
mbpp_sanitized_0212,MBPP,train,CC-BY-4.0,programmatic_reasoning,a51097072e98afca,controlled_injected_failure
mbpp_sanitized_0213,MBPP,train,CC-BY-4.0,programmatic_reasoning,092988ac1c1e107e,controlled_injected_failure
mbpp_sanitized_0214,MBPP,train,CC-BY-4.0,programmatic_reasoning,f8e17801e5742a8e,controlled_injected_failure
