arm,checkpoint,path,sha256,row_count,unique_problem_count,K_observed,model_id,generation_time,raw_or_derived,parent_artifact
Arm_R,0,artifacts/endpoint/controlled_endpoint_outcomes.csv,49549bbd73349bb0,7264,454,16,Qwen2.5-7B,2026-08-16T12:00:00Z,RAW,NONE
Arm_R,256,artifacts/endpoint/controlled_endpoint_outcomes.csv,49549bbd73349bb0,7264,454,16,Qwen2.5-7B-deepscaler,2026-08-16T14:00:00Z,RAW,NONE
Arm_C,0,artifacts/endpoint/controlled_endpoint_outcomes.csv,49549bbd73349bb0,7264,454,16,Qwen2.5-7B,2026-08-16T12:00:00Z,RAW,NONE
Arm_C,256,artifacts/endpoint/controlled_endpoint_outcomes.csv,49549bbd73349bb0,7264,454,16,Qwen2.5-7B-deepscaler,2026-08-16T14:00:00Z,RAW,NONE
Arm_R,32,artifacts/trajectory/intermediate_rollouts.jsonl,26a9c82989486d35,908,454,2,Qwen2.5-7B-deepscaler-step32,2026-08-17T09:00:00Z,RAW,NONE
Arm_C,32,artifacts/trajectory/intermediate_rollouts.jsonl,26a9c82989486d35,908,454,2,Qwen2.5-7B-deepscaler-step32,2026-08-17T09:00:00Z,RAW,NONE
Arm_R,96,artifacts/trajectory/intermediate_rollouts.jsonl,26a9c82989486d35,908,454,2,Qwen2.5-7B-deepscaler-step96,2026-08-17T10:00:00Z,RAW,NONE
Arm_C,96,artifacts/trajectory/intermediate_rollouts.jsonl,26a9c82989486d35,908,454,2,Qwen2.5-7B-deepscaler-step96,2026-08-17T10:00:00Z,RAW,NONE
Arm_R,160,artifacts/trajectory/intermediate_rollouts.jsonl,26a9c82989486d35,908,454,2,Qwen2.5-7B-deepscaler-step160,2026-08-17T11:00:00Z,RAW,NONE
Arm_C,160,artifacts/trajectory/intermediate_rollouts.jsonl,26a9c82989486d35,908,454,2,Qwen2.5-7B-deepscaler-step160,2026-08-17T11:00:00Z,RAW,NONE
Arm_R,224,artifacts/trajectory/intermediate_rollouts.jsonl,26a9c82989486d35,908,454,2,Qwen2.5-7B-deepscaler-step224,2026-08-17T12:00:00Z,RAW,NONE
Arm_C,224,artifacts/trajectory/intermediate_rollouts.jsonl,26a9c82989486d35,908,454,2,Qwen2.5-7B-deepscaler-step224,2026-08-17T12:00:00Z,RAW,NONE
Arm_S,0,research-next/stateshift_rebuild/27A_PHASE5_CONFIRMATORY_RESULTS.csv,48f9ac171e49d88f,0,454,0,NONE,NONE,DERIVED,Arm_C_and_NullSimulation
Arm_S,256,research-next/stateshift_rebuild/27A_PHASE5_CONFIRMATORY_RESULTS.csv,48f9ac171e49d88f,0,454,0,NONE,NONE,DERIVED,Arm_C_and_NullSimulation
Arm_I,0,research-next/stateshift_rebuild/27A_PHASE5_CONFIRMATORY_RESULTS.csv,48f9ac171e49d88f,0,454,0,NONE,NONE,DERIVED,Arm_C_and_NullSimulation
Arm_I,256,research-next/stateshift_rebuild/27A_PHASE5_CONFIRMATORY_RESULTS.csv,48f9ac171e49d88f,0,454,0,NONE,NONE,DERIVED,Arm_C_and_NullSimulation
Arm_A,0,research-next/stateshift_rebuild/27A_PHASE5_CONFIRMATORY_RESULTS.csv,48f9ac171e49d88f,0,454,0,NONE,NONE,DERIVED,Arm_C_and_NullSimulation
Arm_A,256,research-next/stateshift_rebuild/27A_PHASE5_CONFIRMATORY_RESULTS.csv,48f9ac171e49d88f,0,454,0,NONE,NONE,DERIVED,Arm_C_and_NullSimulation
Arm_D,0,research-next/stateshift_rebuild/27A_PHASE5_CONFIRMATORY_RESULTS.csv,48f9ac171e49d88f,0,454,0,NONE,NONE,DERIVED,Arm_C_and_NullSimulation
Arm_D,256,research-next/stateshift_rebuild/27A_PHASE5_CONFIRMATORY_RESULTS.csv,48f9ac171e49d88f,0,454,0,NONE,NONE,DERIVED,Arm_C_and_NullSimulation
